05/01/2007 23.00,0.872,0.872,0.872,0.479,0.773,0.872,0.872,0.809,0.868
06/01/2007 00.00,0.872,0.872,0.764,0.71,0.863,0.872,0.694,0.728,0.286
06/01/2007 01.00,0.864,0.872,0.872,0.726,0.872,0.507,0.751,0.872,0.159
06/01/2007 02.00,0.872,0.872,0.872,0.872,0.714,0.529,0.706,0.486,0.872
06/01/2007 03.00,0.872,0.872,0.825,0.872,0.872,0.872,0.778,0.872,0.872
06/01/2007 04.00,0.872,0.71,0.869,0.872,0.872,0.872,0.872,0.872,0.872
06/01/2007 05.00,0.872,0.872,0.872,0.872,0.872,0.771,0.721,0.872,0.829
06/01/2007 06.00,0.872,0.8,0.872,0.872,0.872,0.827,0.872,0.872,0.631
06/01/2007 07.00,0.872,0.805,0.858,0.47,0.872,0.767,0.872,0.872,0.707
06/01/2007 08.00,0.872,0.872,0.872,0.302,0.872,0.534,0.826,0.872,0.757
06/01/2007 09.00,0.872,0.842,0.872,0.872,0.872,0.216,0.872,0.872,0.872
06/01/2007 10.00,0.872,0.872,0.872,0.872,0.872,0.73,0.44,0.785,0.872
06/01/2007 11.00,0.872,0.872,0.872,0.872,0.872,0.821,0.061,0.453,0.355
06/01/2007 12.00,0.872,0.872,0.872,0.872,0.771,0.584,0.349,0.357,0.465
06/01/2007 13.00,0.872,0.872,0.872,0.872,0.872,0.479,0.335,0.71,0.283
06/01/2007 14.00,0.823,0.729,0.722,0.872,0.872,0.364,0.192,0.103,0.087
06/01/2007 15.00,0.528,0.763,0.464,0.583,0.78,0.106,0.128,0.115,0.05
06/01/2007 16.00,0.407,0.534,0.447,0.495,0.377,0,0.082,0.025,0.004
06/01/2007 17.00,0.478,0.391,0.285,0.578,0.389,0.029,0.042,0.034,0
06/01/2007 18.00,0.505,0.458,0.304,0.639,0.302,0.049,0.051,0.055,0.004
06/01/2007 19.00,0.445,0.496,0.311,0.421,0.315,0.158,0.109,0.052,0.027
06/01/2007 20.00,0.461,0.434,0.325,0.357,0.359,0.22,0.101,0.078,0.028
06/01/2007 21.00,0.409,0.293,0.199,0.415,0.312,0.148,0.094,0.079,0.039
06/01/2007 22.00,0.575,0.441,0.312,0.387,0.549,0.324,0.143,0.142,0.115
06/01/2007 23.00,0.68,0.775,0.381,0.827,0.595,0.411,0.237,0.24,0.148
07/01/2007 00.00,0.697,0.69,0.587,0.805,0.713,0.466,0.359,0.369,0.095
07/01/2007 01.00,0.748,0.721,0.787,0.673,0.872,0.09,0.321,0.364,0.127
07/01/2007 02.00,0.668,0.436,0.553,0.662,0.823,0.051,0.267,0.239,0.125
07/01/2007 03.00,0.563,0.434,0.367,0.378,0.469,0.155,0.245,0.251,0.083
07/01/2007 04.00,0.327,0.196,0.161,0.038,0.328,0.232,0.091,0.129,0.113
07/01/2007 05.00,0.222,0.05,0.094,0,0.165,0.055,0.07,0.105,0.07
07/01/2007 06.00,0.071,0,0.045,0,0.062,0.039,0.035,0.025,0.038
07/01/2007 07.00,0,0,0,0.085,0,0,0.02,0,0.029
07/01/2007 08.00,0,0,0,0.085,0.001,0,0,0,0.009
07/01/2007 09.00,0,0,0,0.139,0,0,0,0,0
07/01/2007 10.00,0,0,0,0.136,0,0,0,0,0
07/01/2007 11.00,0,0,0,0.199,0,0,0,0,0.029
07/01/2007 12.00,0.035,0,0,0.118,0.004,0.041,0,0,0.17
07/01/2007 13.00,0.115,0.049,0.038,0.091,0.029,0.045,0.048,0,0.184
07/01/2007 14.00,0.136,0.152,0.101,0.153,0.016,0.061,0.154,0,0.134
07/01/2007 15.00,0.131,0.103,0.107,0.062,0.063,0.034,0.184,0.07,0.119
07/01/2007 16.00,0.081,0.043,0.12,0.046,0.044,0.034,0.146,0.057,0.092
07/01/2007 17.00,0.129,0.033,0.089,0,0.024,0.038,0.098,0.092,0.075
07/01/2007 18.00,0.109,0,0.15,0,0,0,0.065,0.119,0.074
07/01/2007 19.00,0.23,0.12,0.199,0,0.031,0.033,0.116,0.083,0.078
07/01/2007 20.00,0.161,0.099,0.154,0,0.048,0.044,0.117,0.172,0.069
07/01/2007 21.00,0.215,0.047,0.185,0,0.068,0.057,0.146,0.141,0.088
07/01/2007 22.00,0.337,0.092,0.263,0,0.115,0.134,0.201,0.23,0.217
07/01/2007 23.00,0.352,0.219,0.376,0.21,0.113,0.068,0.315,0.262,0.319
08/01/2007 00.00,0.408,0.359,0.49,0.243,0.216,0.069,0.716,0.666,0.545
08/01/2007 01.00,0.352,0.562,0.445,0.25,0.14,0.163,0.811,0.819,0.512
08/01/2007 02.00,0.529,0.569,0.597,0.292,0.24,0.231,0.234,0.829,0.501
08/01/2007 03.00,0.826,0.872,0.872,0.14,0.596,0.581,0.474,0.374,0.727
08/01/2007 04.00,0.872,0.872,0.872,0.803,0.872,0.872,0.643,0.273,0.872
08/01/2007 05.00,0.475,0.763,0.771,0.872,0.872,0.813,0.856,0.872,0.872
08/01/2007 06.00,0.526,0.872,0.872,0.872,0.872,0.872,0.806,0.872,0.872
08/01/2007 07.00,0.872,0.872,0.872,0.787,0.872,0.872,0.753,0.872,0.872
08/01/2007 08.00,0.514,0.872,0.822,0.857,0.872,0.872,0.793,0.53,0.872
08/01/2007 09.00,0.872,0.872,0.872,0.872,0.813,0.818,0.758,0.595,0.872
